Supplementary Data 1. Catalog of the 722 canids genomes
Name_ID_Study	Name_ID_SRA	Breed/CommonName	BioProject	BioSample	Sex	CoverageAll	CoverageX	CoverageRatio	AnalysisName_Phylo	Phylo_Results	Phylo_Bootstrap	Phylo_Notes	Genotyped on Illumina canine HD array	Used to do WGS/SNP chip comparison	Other_Information
Belgian Tervuren 10	BelgianTervuren11	Belgian Tervuren	PRJNA448733	SAMN08872858	F	48.200400000000002	49.1584	0.98051197760708242	Belgian Tervuren 10	Belgian Sheepdog/Tervuren	100		yes	yes	
Belgian Tervuren 11	BelgianTervuren04	Belgian Tervuren - See Other_Information	PRJNA448733	SAMN08872859	M	14.9749	8.4638500000000008	1.7692775746262042	Belgian Tervuren 11	Belgian Sheepdog/Tervuren	100		yes		WGS contaminated with another individual - Determined by concordance with SNPchip data
Berger Blanc Suisse	BergerBlancSuisse01	Berger Blanc Suisse	PRJEB16012	SAMEA4506887	M	16.586300000000001	9.2821899999999999	1.7868951185011297	Berger Blanc Suisse	outside German Shepherd Dog clade	100	Breed not available for comparison		
Berger Picard 1	CFA.109670	Berger Picard	PRJNA263947	SAMN06159678	M	57.454799999999999	31.856999999999999	1.8035219888878427	Berger Picard 1	Berger Picard	100				
Berger Picard 2	BergerPicard01	Berger Picard	PRJNA263947	SAMN03580405	F	25.2395	25.4755	0.99073619752311037	Berger Picard 2	Berger Picard	100				
Berger Picard 3	BergerPicard02	Berger Picard	PRJNA263947	SAMN04196849	F	25.632000000000001	25.668099999999999	0.9985935850335631	Berger Picard 3	Berger Picard	100				
Berger Picard 4	BergerPicard03	Berger Picard	PRJNA263947	SAMN04196860	F	33.081299999999999	33.440100000000001	0.98927036701445259	Berger Picard 4	Berger Picard	100				
Bernese Mountain Dog 1	BerneseMountainDog01	Bernese Mountain Dog	PRJNA288568	SAMN03801648	F	44.421199999999999	45.019100000000002	0.98671897039256662	Bernese Mountain Dog 1	Bernese Mountain Dog	100		yes	yes
Bernese Mountain Dog 2	BerneseMountainDog02	Bernese Mountain Dog	PRJNA448733	SAMN08872866	F	49.090200000000003	50.4161	0.97370086143116985	Bernese Mountain Dog 2	Bernese Mountain Dog	100			
Bernese Mountain Dog 3	BerneseMountainDog03	Bernese Mountain Dog	PRJNA448733	SAMN08872867	M	9.4504400000000004	5.2515099999999997	1.7995662200014855	Bernese Mountain Dog 3	Bernese Mountain Dog	100				
Bernese Mountain Dog 4	BerneseMountainDog04	Bernese Mountain Dog	PRJNA448733	SAMN08872868	M	10.334300000000001	5.8415100000000004	1.7691144926568645	Bernese Mountain Dog 4	Bernese Mountain Dog	100				
Bernese Mountain Dog 5	BerneseMountainDog05	Bernese Mountain Dog	PRJNA448733	SAMN08872869	F	9.35487	9.5599600000000002	0.9785469813681229	Bernese Mountain Dog 5	Bernese Mountain Dog	100				
Bernese Mountain Dog 6	BerneseMountainDog06	Bernese Mountain Dog	PRJNA448733	SAMN08872870	F	7.6570200000000002	7.7282799999999998	0.99077931958986998	Bernese Mountain Dog 6	Bernese Mountain Dog	100				
Bernese Mountain Dog 7	BerneseMountainDog07	Bernese Mountain Dog	PRJNA448733	SAMN08872871	F	8.6857500000000005	8.8976900000000008	0.97618033444635632	Bernese Mountain Dog 7	Bernese Mountain Dog	100				
Bernese Mountain Dog 8	BerneseMountainDog08	Bernese Mountain Dog	PRJNA448733	SAMN08872872	F	8.6702100000000009	8.3931799999999992	1.0330065600880718	Bernese Mountain Dog 8	Bernese Mountain Dog	100				
Bernese Mountain Dog 9	BerneseMountainDog09	Bernese Mountain Dog	PRJNA448733	SAMN08872873	M	9.6064100000000003	5.4453800000000001	1.7641395090884382	Bernese Mountain Dog 9	Bernese Mountain Dog	100				
Bernese Mountain Dog 10	BerneseMountainDog10	Bernese Mountain Dog	PRJNA448733	SAMN08872874	F	8.5669699999999995	8.8831199999999999	0.96441002710759283	Bernese Mountain Dog 10	Bernese Mountain Dog	100		yes		
Bernese Mountain Dog 11	BerneseMountainDog11	Bernese Mountain Dog	PRJNA448733	SAMN08872875	M	11.3299	6.3188399999999998	1.7930347975261283	Bernese Mountain Dog 11	Bernese Mountain Dog	100				
Bernese Mountain Dog 12	BerneseMountainDog12	Bernese Mountain Dog	PRJNA448733	SAMN08872876	F	10.7539	10.965	0.9807478340173279	Bernese Mountain Dog 12	Bernese Mountain Dog	100				
Bernese Mountain Dog 13	BerneseMountainDog13	Bernese Mountain Dog	PRJNA448733	SAMN08872877	F	8.6153700000000004	8.8184699999999996	0.97696879390642599	Bernese Mountain Dog 13	Bernese Mountain Dog	100				
Bernese Mountain Dog 14	BerneseMountainDog14	Bernese Mountain Dog	PRJNA448733	SAMN08872878	F	11.1957	11.551	0.96924075837589818	Bernese Mountain Dog 14	Bernese Mountain Dog	100				
Bernese Mountain Dog 15	BerneseMountainDog15	Bernese Mountain Dog	PRJNA448733	SAMN08872879	M	8.6808999999999994	5.0850799999999996	1.7071314512259395	Bernese Mountain Dog 15	Bernese Mountain Dog	100				
Bernese Mountain Dog 16	BerneseMountainDog16	Bernese Mountain Dog	PRJNA448733	SAMN08872880	F	10.0181	10.1952	0.98262908035153806	Bernese Mountain Dog 16	Bernese Mountain Dog	100				
Bernese Mountain Dog 17	BerneseMountainDog17	Bernese Mountain Dog	PRJNA448733	SAMN08872881	F	7.9825699999999999	8.1141100000000002	0.98378873345320683	Bernese Mountain Dog 17	Bernese Mountain Dog	100				
Bernese Mountain Dog 18	BerneseMountainDog18	Bernese Mountain Dog	PRJNA448733	SAMN08872882	F	13.623200000000001	13.5572	1.0048682618829847	Bernese Mountain Dog 18	Bernese Mountain Dog	100				
Black and Tan Coonhound	Coonhound01	Black and Tan Coonhound	PRJNA263947	SAMN04196853	F	27.3033	27.5502	0.99103817758128798	Black and Tan Coonhound	with a Redbone Coonhound	73	Breed not available for comparison			
Black Russian Terrier	BlackRussianTerrier01	Black Russian Terrier	PRJNA263947	SAMN03323668	F	37.383400000000002	37.579000000000001	0.99479496527315792	Black Russian Terrier	Black Russian Terrier	100			
Bloodhound	Bloodhound01	Bloodhound	PRJNA288568	SAMN03801649	F	39.006799999999998	39.7652	0.9809280476396447	Bloodhound	Bloodhound	100		yes	yes
Border Collie 1	BorderCollie06	Border Collie	PRJEB16012	SAMEA4505490	F	4.5190299999999999	4.5970899999999997	0.98301969289267777	Border Collie 1	Border Collie	100				One of six BAM file that needed to be remade after making 722g VCF - Slight diffences in genotypes in 722g VCF compared to a joint call of the 6g for a subset of Illumina SNPchip SNPs (48 differences out of 63664 tested for 0.08% discordance)
Border Collie 2	BC0480	Border Collie	PRJEB16012	SAMEA104091558	F	31.028400000000001	30.277100000000001	1.0248141334539966	Border Collie 2	Border Collie	100				
Border Collie 3	Helsinki_BC1028	Border Collie	PRJNA319610	SAMN04908310	M	27.262499999999999	15.3049	1.7812922658756345	Border Collie 3	Border Collie	100				
